Authors,Title,Publication,Volume,Number,Pages,Year,Publisher

"Bastos, Rita; Santos, Mário; Ramos, Jaime Albino; Vicente, Joana; Guerra, Carlos; Alonso, Joaquim; Honrado, João; Ceia, Ricardo Santos; Timóteo, Sérgio; Cabral, João Alexandre; ",Testing a novel spatially-explicit dynamic modelling approach in the scope of the laurel forest management for the endangered Azores bullfinch (Pyrrhula murina) conservation,Biological Conservation,147,1,243-254,2012,Elsevier

"Alonso, Joaquim; Rey, Juan; Castro, Pedro; Guerra, Carlos; ",GIS based land use planning and watershed monitoring as tools for sustainable development,"Ecosystems and Sustainable Development VI, Tiezzi, E., Marques, J., Brebbia, C. & Jorgensen, S., Editors, WIT Press",,,205-214,2007,

"Guerra, Carlos; Castro, P; Honrado, J; Bunce, RGH; Jongman, RHG; Alonso, J; ",The rationale behind the biodiversity information system for north Portugal: The path for a strategic and collaborative biodiversity information system,,,,,2011,

"GUERRA, Carlos; CASTRO, Pedro; HONRADO, João; BUNCE, Bob; JONGMAN, Rob; ALONSO, Joaquim; ",Collaborative Information Systems and Biodiversity,,,,,2011,

"Carvalho-Ribeiro, Sónia; Azevedo, JOão; Guerra, Carlos; Proença, Vanda; Santos, CC; Honrado, João; PInto-Correia, Teresa; ",As florestas no Norte de Portugal: Situação no presente,,,,,2012,"Cibio, Porto"

"Guerra, C; Cobo, F; González, M; Alonso, J; ",Stability and resilience in macrobenthic communities: the role of habitat disturbance,,,,,2007,

"Ortega, M; Guerra, C; Honrado, JP; Metzger, MJ; Bunce, RGH; Jongman, RHG; ",Surveillance of habitats and plant diversity indicators across a regional gradient in the Iberian Peninsula,Ecological indicators,33,,36-44,2013,Elsevier

"Almeida, Mara; Guerra, Carlos; Pinto-Correia, Teresa; ",Unfolding relations between land cover and farm management: high nature value assessment in complex silvo-pastoral systems,Geografisk Tidsskrift-Danish Journal of Geography,113,2,97-108,2013,Taylor & Francis

"Lomba, Angela; Guerra, Carlos; Alonso, Joaquim; Honrado, João Pradinho; Jongman, Rob; McCracken, David; ",Mapping and monitoring high nature value farmlands: challenges in European landscapes,Journal of environmental management,143,,140-150,2014,Academic Press

"Guerra, Carlos A; Pinto-Correia, Teresa; Metzger, Marc J; ",Mapping soil erosion prevention using an ecosystem service modeling framework for integrated land management and policy,Ecosystems,17,,878-889,2014,Springer US

"Guerra, Carlos A; Metzger, Marc J; Maes, Joachim; Pinto-Correia, Teresa; ",Policy impacts on regulating ecosystem services: looking at the implications of 60 years of landscape change on soil erosion prevention in a Mediterranean silvo-pastoral system,Landscape Ecology,31,,271-290,2016,Springer Netherlands

"Guerra, Carlos A; Maes, Joachim; Geijzendorffer, Ilse; Metzger, Marc J; ",An assessment of soil erosion prevention by vegetation in Mediterranean Europe: Current trends of ecosystem service provision,Ecological Indicators,60,,213-222,2016,Elsevier

