Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ortega, M; Guerra, C; Honrado, JP; Metzger, MJ; Bunce, RGH; Jongman, RHG; ",Surveillance of habitats and plant diversity indicators across a regional gradient in the Iberian Peninsula,Ecological indicators,33,,36-44,2013,Elsevier
"Almeida, Mara; Guerra, Carlos; Pinto-Correia, Teresa; ",Unfolding relations between land cover and farm management: high nature value assessment in complex silvo-pastoral systems,Geografisk Tidsskrift-Danish Journal of Geography,113,2,97-108,2013,Taylor & Francis
"Guerra, Carlos; Metzger, Marc J; Honrado, João; Alonso, Joaquim; ",A spatially explicit methodology for a priori estimation of field survey effort in environmental observation networks,International Journal of Geographical Information Science,27,10,2077-2098,2013,Taylor & Francis
"Castro, Pedro; Alonso, Joaquim; Guerra, Carlos; Gonçalves, João; Pôças, Isabel; Marcos, Bruno; Honrado, João; ",Novel tools to improve the management of spatial data quality in the context of ecosystem and biodiversity monitoring,,,,,2013,Verlag der Österreichischen Akademie der Wissenschaften
"Guerra, Carlos; Neiva, Álvaro; Alonso, Joaquim; ",Metodologias para análise e produção de cartografia de suscetibilidade de acidente rodoviário: caso de estudo para o Distrito de Viana do Castelo (2002–2011),e-LP Engineering and Technology Journal,,,,2013,Edições Universitárias Lusófonas
"Guerra, Carlos; Pinto-Correia, Teresa; Alonso, Joaquim; Metzger, Marc; ",Mapping and assessing soil protection through an integrative ecosystem service framework.,,,,,2013,
"Guerra, Carlos; Pinto-Correia, Teresa; Metzger, M; Neiva, A; Alonso, Joaquim; ",Avaliação de serviços de ecossistema de conservação do solo associados a processos erosivos,,,,,2013,
"Costa, Francisco da Silva; Marques, Andréa; Arnaud-Fassetta, Gilles; Alonso, Joaquim Mamede; Martins, Ivone; Guerra, Carlos; ",Methodological deepening for flood-risk analysis in cross-border regions: a case study for the Lima catchment (NW Spain/Portugal) according to the implementation of the European Water Framework Directive,,,,,2013,Friedrich Pfeil Verlag
"Martins, Mário; Castro, Paulo; Mateus, Paulo; Ferreira, Filomena; Guerra, Carlos; Azevedo, João; Honrado, João P; Alonso, Joaquim; ",Modelação espacial de redes ecológicas regionais: contributos e propostas para a região Norte de Portugal,,,,,2013,APEP/SPECO
"Alonso, Joaquim; Martins, Ivone; Guerra, Carlos; Castro, Pedro; ",Spatial data quality assessment and WEBGIS institutional capacity building development,2013 8th Iberian Conference on Information Systems and Technologies (CISTI),,,1-6,2013,IEEE
