Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Giling, Darren P; Beaumelle, Léa; Phillips, Helen RP; Cesarz, Simone; Eisenhauer, Nico; Ferlian, Olga; Gottschall, Felix; Guerra, Carlos; Hines, Jes; Sendek, Agnieszka; ",A niche for ecosystem multifunctionality in global change research,Global Change Biology,25,3,763-774,2019,
"Eisenhauer, Nico; Bonn, Aletta; A. Guerra, Carlos; ",Recognizing the quiet extinction of invertebrates,Nature communications,10,1,50,2019,Nature Publishing Group UK London
"Geijzendorffer, Ilse R; Beltrame, Coralie; Chazee, Laurent; Gaget, Elie; Galewski, Thomas; Guelmami, Anis; Perennou, Christian; Popoff, Nadège; Guerra, Carlos A; Leberger, Roxanne; ",A more effective Ramsar Convention for the conservation of Mediterranean wetlands,Frontiers in Ecology and Evolution,7,,21,2019,Frontiers Media SA
"Guerra, Carlos A; Pendleton, Linwood; Drakou, Evangelia G; Proença, Vânia; Appeltans, Ward; Domingos, Tiago; Geller, Gary; Giamberini, S; Gill, Mike; Hummel, Herman; ",Finding the essential: Improving conservation monitoring across scales,Global Ecology and Conservation,18,,e00601,2019,Elsevier
"Cameron, Erin K; Martins, Inês S; Lavelle, Patrick; Mathieu, Jérôme; Tedersoo, Leho; Bahram, Mohammad; Gottschall, Felix; Guerra, Carlos A; Hines, Jes; Patoine, Guillaume; ",Global mismatches in aboveground and belowground biodiversity,Conservation Biology,33,5,1187-1192,2019,
"Phillips, Helen RP; Guerra, Carlos A; Bartz, Marie LC; Briones, Maria JI; Brown, George; Crowther, Thomas W; Ferlian, Olga; Gongalsky, Konstantin B; Van Den Hoogen, Johan; Krebs, Julia; ",Global distribution of earthworm diversity,Science,366,6464,480-485,2019,American Association for the Advancement of Science
"Koellner, Thomas; Bonn, Aletta; Arnhold, Sebastian; Bagstad, Kenneth J; Fridman, Dor; Guerra, Carlos A; Kastner, Thomas; Kissinger, Meidad; Kleemann, Janina; Kuhlicke, Christian; ",Guidance for assessing interregional ecosystem service flows,Ecological Indicators,105,,92-106,2019,Elsevier
"Eisenhauer, Nico; Guerra, Carlos A; ",Global maps of soil nematode worms,Nature,572,7768,187-188,2019,NATURE PUBLISHING GROUP
"Rosa, Isabel MD; Guerra, Carlos A; ",Pathways of human development threaten biomes’ protection and their remaining natural vegetation,bioRxiv,,,776443,2019,Cold Spring Harbor Laboratory
"Guerra, Carlos António; Rosa, Isabel; Pereira, Henrique M; ",Change versus stability: are protected areas particularly pressured by global land cover change?,Landscape Ecology,34,12,2779-2790,2019,Springer Netherlands
